OrderNo,ItemID,SalesDate,DeliveryDate,CustomerId,CityId,Qty,Price,Cost,DiscountPercent
20277,37,10/3/2020,10/6/2020,2691,26,1,233,172,12
22328,23,10/3/2020,10/7/2020,6085,61,1,60,54,9
22784,53,10/3/2020,10/9/2020,3562,19,1,333,259,5
25881,14,10/3/2020,10/9/2020,338,52,2,753,301,39
26399,52,10/3/2020,10/13/2020,4995,51,2,53,45,28
28895,51,10/3/2020,10/10/2020,2651,33,2,73,36,36
29167,33,10/3/2020,10/13/2020,1002,51,1,267,202,45
20273,32,10/2/2020,10/9/2020,4786,73,2,91,77,20
20726,46,10/2/2020,10/7/2020,5157,4,1,93,65,27
21121,53,10/2/2020,10/5/2020,386,33,2,233,172,10
21156,14,10/2/2020,10/11/2020,1162,69,1,65,52,32
21320,32,10/2/2020,10/10/2020,1879,62,2,40,36,13
22561,26,10/2/2020,10/3/2020,2954,32,2,83,66,29
23121,53,10/2/2020,10/10/2020,2025,93,2,91,77,25
23186,20,10/2/2020,10/10/2020,882,27,1,47,39,1
25941,40,10/2/2020,10/4/2020,3869,77,1,40,38,13
26619,29,10/2/2020,10/7/2020,1070,69,2,91,77,2
29171,49,10/2/2020,10/3/2020,1763,97,2,97,67,44
29189,17,10/2/2020,10/5/2020,5083,63,2,47,39,45
29191,39,10/2/2020,10/8/2020,4356,72,2,67,53,14
29236,32,10/2/2020,10/12/2020,1125,30,1,83,70,45
29969,15,10/2/2020,10/11/2020,441,63,2,267,202,12
20994,31,10/1/2020,10/9/2020,2004,83,1,333,259,12
21021,33,10/1/2020,10/6/2020,3651,45,2,83,70,18
21025,18,10/1/2020,10/8/2020,4123,96,1,40,38,5
21449,19,10/1/2020,10/5/2020,5592,35,2,65,52,36
21926,55,10/1/2020,10/1/2020,6017,86,2,200,140,9
21928,19,10/1/2020,10/9/2020,2902,11,2,83,66,15
22111,35,10/1/2020,10/10/2020,1909,80,2,93,65,29
22258,17,10/1/2020,10/6/2020,2220,39,2,97,67,18
23169,33,10/1/2020,10/6/2020,3829,38,2,83,70,15
23477,18,10/1/2020,10/1/2020,4668,93,1,47,39,11
24427,18,10/1/2020,10/9/2020,1307,16,1,60,54,25
24551,34,10/1/2020,10/9/2020,1040,43,2,83,53,1
25234,52,10/1/2020,10/7/2020,2030,38,2,60,54,1
25854,45,10/1/2020,10/6/2020,1657,7,2,200,140,41
26922,14,10/1/2020,10/8/2020,274,41,2,83,53,27
27668,21,10/1/2020,10/3/2020,4254,34,1,65,52,26
28662,24,10/1/2020,10/2/2020,303,91,1,40,36,23
28803,14,10/1/2020,10/8/2020,1906,49,2,100,83,22
29268,34,10/1/2020,10/7/2020,5205,78,1,83,66,36
29601,39,10/1/2020,10/8/2020,4936,8,1,91,77,41
29693,20,10/1/2020,10/1/2020,1201,8,2,47,39,13
29902,53,10/1/2020,10/7/2020,2181,91,1,753,301,18
29966,47,10/1/2020,10/1/2020,1320,40,1,92,64,41
20900,44,9/30/2020,10/8/2020,3035,5,1,97,67,18
21403,37,9/30/2020,10/2/2020,246,67,1,67,46,2
22166,21,9/30/2020,10/8/2020,1101,1,2,93,65,19
23011,43,9/30/2020,10/4/2020,6430,46,1,53,45,26
23201,30,9/30/2020,10/9/2020,5942,100,2,67,53,44
23249,16,9/30/2020,10/10/2020,4402,23,1,67,46,21
25474,22,9/30/2020,10/1/2020,2083,3,1,100,83,4
25515,13,9/30/2020,10/4/2020,3832,67,1,40,38,15
25673,36,9/30/2020,10/9/2020,2643,58,2,40,38,28
25908,36,9/30/2020,10/4/2020,5836,67,2,83,66,17
28171,33,9/30/2020,10/6/2020,3352,75,1,83,53,13
28756,12,9/30/2020,10/6/2020,2372,41,1,67,46,28
